rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
6855,4,843.250000000,19.448650339,816.750000000,20.205197351,811.750000000,18.536001007,97410.000000000,2224.320120846,20.750000000,1.707825128,5.750000000,4.193248542,20.750000000,1.707825128,0.000000000,0.000000000,0.000000000,0.000000000,5.750000000,4.193248542,0.031446031,0.004979814
7022,4,922.000000000,23.494680249,887.750000000,19.754746265,883.000000000,20.346989949,105960.000000000,2441.638793925,27.250000000,8.732124598,7.000000000,5.291502622,27.250000000,8.732124598,0.000000000,0.000000000,0.000000000,0.000000000,7.000000000,5.291502622,0.037070710,0.007093679
7188,4,902.750000000,4.500000000,868.500000000,4.795831523,866.750000000,4.112987560,104010.000000000,493.558507170,28.000000000,3.162277660,6.250000000,1.892969449,28.000000000,3.162277660,0.000000000,0.000000000,0.000000000,0.000000000,6.250000000,1.892969449,0.037932938,0.004742558
7355,4,945.250000000,28.929512036,912.500000000,26.095976701,906.000000000,23.338094752,108720.000000000,2800.571370274,27.000000000,7.164728420,5.750000000,2.217355783,27.000000000,7.164728420,0.000000000,0.000000000,0.000000000,0.000000000,5.750000000,2.217355783,0.034582262,0.007321645
7521,4,950.750000000,27.475746881,915.500000000,25.890796306,906.750000000,31.784430151,108810.000000000,3814.131618075,28.750000000,4.031128874,6.500000000,2.380476143,28.750000000,4.031128874,0.000000000,0.000000000,0.000000000,0.000000000,6.500000000,2.380476143,0.037059854,0.002856141
7687,4,981.250000000,18.945096111,945.500000000,15.264337522,943.250000000,13.524668819,113190.000000000,1622.960258293,28.000000000,7.527726527,7.750000000,2.500000000,28.000000000,7.527726527,0.000000000,0.000000000,0.000000000,0.000000000,7.750000000,2.500000000,0.036381056,0.005248882
7854,4,995.250000000,38.603756294,961.750000000,38.055879966,955.000000000,38.496753110,114600.000000000,4619.610373181,26.250000000,5.188127472,7.250000000,3.774917218,26.250000000,5.188127472,0.000000000,0.000000000,0.000000000,0.000000000,7.250000000,3.774917218,0.033680207,0.002123764
8020,4,1006.250000000,44.184273220,967.750000000,41.628315684,964.750000000,43.022281049,115770.000000000,5162.673725890,30.000000000,3.651483717,8.500000000,2.380476143,30.000000000,3.651483717,0.000000000,0.000000000,0.000000000,0.000000000,8.500000000,2.380476143,0.038219795,0.005177479
8187,4,1038.250000000,26.323310329,1003.500000000,24.623836690,999.750000000,22.005681085,119970.000000000,2640.681730160,27.750000000,4.349329450,7.000000000,4.082482905,27.750000000,4.349329450,0.000000000,0.000000000,0.000000000,0.000000000,7.000000000,4.082482905,0.033436069,0.007293061
8353,4,1076.250000000,33.410327745,1030.750000000,35.929328781,1025.500000000,34.355979586,123060.000000000,4122.717550354,36.500000000,6.191391874,9.000000000,2.828427125,36.500000000,6.191391874,0.000000000,0.000000000,0.000000000,0.000000000,9.000000000,2.828427125,0.042344716,0.007438800
