rate_hz_per_channel,repeats,dead_fraction_mean,dead_fraction_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std
1000,3,0.011493999999999999,0.019908191982196677,31.0,2.6457513110645907,12.0,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0
1684,3,0.027866000000000002,0.016161630517989203,49.0,7.211102550927978,26.0,4.0,1.3333333333333333,0.5773502691896257,0.0,0.0
2368,3,0.041736,0.017646905536098954,70.66666666666667,7.571877794400365,46.0,5.5677643628300215,2.6666666666666665,0.5773502691896258,0.3333333333333333,0.5773502691896258
3053,3,0.031221333333333334,0.009830214765371777,92.66666666666667,8.621678104251709,68.33333333333333,5.507570547286102,2.0,1.0,1.0,1.0
3737,3,0.04182266666666667,0.01295739404098422,119.33333333333333,12.342339054382412,95.0,9.848857801796104,5.0,2.6457513110645907,0.3333333333333333,0.5773502691896258
4421,3,0.05196766666666667,0.020029112245262732,128.0,4.0,101.0,6.0,5.666666666666667,1.5275252316519465,1.3333333333333333,1.1547005383792517
5105,3,0.07606633333333333,0.030612727979279036,156.66666666666666,4.041451884327381,139.0,5.291502622129181,10.333333333333334,5.686240703077327,2.6666666666666665,0.5773502691896258
5789,3,0.078637,0.02115479037948615,168.33333333333334,10.692676621563626,151.0,11.357816691600547,11.666666666666666,3.214550253664318,2.6666666666666665,1.1547005383792515
6474,3,0.079805,0.01354163959792166,193.66666666666666,22.052966542697455,178.66666666666666,27.006172134038792,15.333333333333334,3.511884584284246,1.6666666666666667,1.5275252316519468
7158,3,0.10490100000000001,0.015230388931343807,203.33333333333334,20.108041509140897,187.33333333333334,21.221058723196006,20.0,1.0,3.6666666666666665,1.5275252316519468
7842,3,0.10751699999999999,0.008037643186904978,232.0,5.5677643628300215,221.66666666666666,5.507570547286102,23.0,2.6457513110645907,5.0,1.0
8526,3,0.11837799999999998,0.01970079742040915,240.66666666666666,5.131601439446884,231.33333333333334,11.150485789118488,26.333333333333332,4.041451884327381,6.0,2.0
9211,3,0.12549966666666668,0.02720346963777476,264.6666666666667,19.03505538035898,251.0,18.0,30.0,9.539392014169456,8.333333333333334,5.507570547286102
9895,3,0.13902966666666666,0.008696594985011857,280.6666666666667,1.5275252316519465,269.0,5.196152422706632,37.333333333333336,3.7859388972001824,8.0,1.0
10579,3,0.13593366666666667,0.01789886226365613,279.6666666666667,13.051181300301261,271.3333333333333,9.504384952922168,35.0,2.6457513110645907,9.333333333333334,3.214550253664318
11263,3,0.14416700000000002,0.01912810299010333,290.3333333333333,6.429100507328637,285.3333333333333,10.016652800877813,39.0,9.0,10.0,1.7320508075688772
11947,3,0.13608833333333334,0.00591753633984054,330.6666666666667,27.30079363925769,320.6666666666667,17.67295485574875,40.666666666666664,5.8594652770823155,11.333333333333334,6.110100926607787
12632,3,0.16979866666666665,0.011212322031289206,352.3333333333333,20.55075018906447,339.6666666666667,17.95364401266031,56.333333333333336,13.576941236277534,16.0,3.605551275463989
13316,3,0.16419066666666668,0.007059266699405345,358.0,2.6457513110645907,354.3333333333333,9.504384952922168,49.0,6.557438524302,21.333333333333332,3.5118845842842465
14000,3,0.17863433333333334,0.014052381660534753,365.6666666666667,14.0118997046558,356.3333333333333,14.502873278538061,61.666666666666664,2.8867513459481287,18.0,6.557438524302
