rate_hz_per_channel,baseline_repeats,baseline_dead_fraction_mean,baseline_dead_fraction_std,baseline_accepted_total_mean,baseline_accepted_total_std,baseline_sent_total_mean,baseline_sent_total_std,baseline_busy_counter_total_mean,baseline_busy_counter_total_std,baseline_full_counter_total_mean,baseline_full_counter_total_std,ring0_repeats,ring0_dead_fraction_mean,ring0_dead_fraction_std,ring0_accepted_total_mean,ring0_accepted_total_std,ring0_sent_total_mean,ring0_sent_total_std,ring0_busy_counter_total_mean,ring0_busy_counter_total_std,ring0_full_counter_total_mean,ring0_full_counter_total_std,ring50_repeats,ring50_dead_fraction_mean,ring50_dead_fraction_std,ring50_accepted_total_mean,ring50_accepted_total_std,ring50_sent_total_mean,ring50_sent_total_std,ring50_busy_counter_total_mean,ring50_busy_counter_total_std,ring50_full_counter_total_mean,ring50_full_counter_total_std,rate_khz_per_channel,delta_ring0_vs_baseline_pct,delta_ring50_vs_baseline_pct,delta_ring50_vs_ring0_pct
1000,1,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,0.0114939999999999,0.0199081919821966,31.0,2.6457513110645907,12.0,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,3,0.0114939999999999,0.0199081919821966,31.0,2.6457513110645907,12.0,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0,1.14939999999999,1.14939999999999,0.0
1684,1,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3,0.0402286666666666,0.0056113533424062,48.333333333333336,6.658328118479393,25.333333333333332,3.5118845842842465,2.0,0.0,0.0,0.0,3,0.027866,0.0161616305179892,49.0,7.211102550927978,26.0,4.0,1.3333333333333333,0.5773502691896257,0.0,0.0,1.684,4.02286666666666,2.7866,-1.2362666666666602
2368,1,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3,0.050394,0.0215457261887363,70.0,7.211102550927978,45.333333333333336,5.8594652770823155,3.3333333333333335,1.5275252316519468,0.3333333333333333,0.5773502691896258,3,0.041736,0.0176469055360989,70.66666666666667,7.571877794400365,46.0,5.5677643628300215,2.6666666666666665,0.5773502691896258,0.3333333333333333,0.5773502691896258,2.368,5.0394000000000005,4.1736,-0.8658000000000001
3053,1,0.090909,0.0,10.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,3,0.0350526666666666,0.0067850227953436,92.33333333333331,9.073771725877467,68.0,6.082762530298219,2.3333333333333335,0.5773502691896258,1.0,1.0,3,0.0312213333333333,0.0098302147653717,92.66666666666669,8.621678104251709,68.33333333333333,5.507570547286102,2.0,1.0,1.0,1.0,3.053,-5.585633333333339,-5.968766666666669,-0.3831333333333298
3737,1,0.090909,0.0,10.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3,0.0469643333333333,0.0149376936751739,118.66666666666669,11.930353445448857,94.33333333333331,9.451631252505218,5.666666666666667,3.0550504633038935,0.3333333333333333,0.5773502691896258,3,0.0418226666666666,0.0129573940409842,119.33333333333331,12.342339054382412,95.0,9.848857801796104,5.0,2.6457513110645907,0.3333333333333333,0.5773502691896258,3.737,-4.394466666666669,-4.90863333333334,-0.5141666666666707
4421,1,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3,0.0642226666666666,0.0186232171316701,126.33333333333331,3.214550253664318,99.33333333333331,6.658328118479393,7.333333333333333,1.5275252316519463,1.3333333333333333,1.1547005383792517,3,0.0519676666666666,0.0200291122452627,128.0,4.0,101.0,6.0,5.666666666666667,1.5275252316519463,1.3333333333333333,1.1547005383792517,4.421,6.422266666666659,5.19676666666666,-1.2254999999999994
5105,1,0.0,0.0,14.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,3,0.0859816666666666,0.0280502781507302,155.0,4.358898943540674,137.33333333333334,5.686240703077327,12.0,5.291502622129181,2.6666666666666665,0.5773502691896258,3,0.0760663333333333,0.030612727979279,156.66666666666666,4.041451884327381,139.0,5.291502622129181,10.333333333333334,5.686240703077327,2.6666666666666665,0.5773502691896258,5.105,8.598166666666659,7.60663333333333,-0.9915333333333285
5789,1,0.047619,0.0,20.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,3,0.0860099999999999,0.0142619433107834,167.0,10.583005244258365,149.66666666666666,10.969655114602888,13.0,2.0,2.6666666666666665,1.1547005383792517,3,0.078637,0.0211547903794861,168.33333333333334,10.692676621563626,151.0,11.357816691600547,11.666666666666666,3.214550253664318,2.6666666666666665,1.1547005383792517,5.789,3.8390999999999904,3.1018,-0.7372999999999905
6474,1,0.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3,0.1000519999999999,0.0221504588665788,189.33333333333337,20.984120980716188,174.33333333333334,25.579940057266228,19.333333333333332,5.033222956847166,2.0,2.0,3,0.079805,0.0135416395979216,193.66666666666663,22.052966542697455,178.66666666666666,27.006172134038792,15.333333333333334,3.511884584284246,1.6666666666666667,1.5275252316519468,6.474,10.00519999999999,7.9805,-2.0246999999999895
7158,1,0.130434,0.0,20.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,3,0.1163976666666666,0.0089480501414181,200.66666666666663,18.876793513023692,185.0,19.28730152198591,22.666666666666668,1.5275252316519468,3.6666666666666665,1.5275252316519468,3,0.104901,0.0152303889313438,203.33333333333337,20.108041509140897,187.33333333333337,21.22105872319601,20.0,1.0,3.6666666666666665,1.5275252316519468,7.158,-1.4036333333333406,-2.5533,-1.1496666666666595
