rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
12346,4,1567.250000000,37.070878058,1408.500000000,22.664215554,1406.250000000,24.143667217,168750.000000000,2897.240065994,144.000000000,13.441230102,14.750000000,2.629955640,144.000000000,13.441230102,0.000000000,0.000000000,0.000000000,0.000000000,14.750000000,2.629955640,0.101166485,0.007523776
12513,4,1623.500000000,32.388269481,1457.000000000,24.993332444,1455.750000000,22.706460167,174690.000000000,2724.775220087,148.500000000,19.399312703,18.000000000,5.715476066,148.500000000,19.399312703,0.000000000,0.000000000,0.000000000,0.000000000,18.000000000,5.715476066,0.102462170,0.012070459
12679,4,1636.000000000,54.954526656,1466.000000000,37.461090926,1465.000000000,40.257504476,175800.000000000,4830.900537167,152.500000000,16.921386862,17.500000000,2.380476143,152.500000000,16.921386862,0.000000000,0.000000000,0.000000000,0.000000000,17.500000000,2.380476143,0.103726530,0.008391906
12845,4,1645.750000000,60.730964096,1475.750000000,59.281109976,1477.000000000,59.771788217,177240.000000000,7172.614586049,154.000000000,4.242640687,16.000000000,2.943920289,154.000000000,4.242640687,0.000000000,0.000000000,0.000000000,0.000000000,16.000000000,2.943920289,0.103379690,0.003533430
13012,4,1655.750000000,37.880293909,1482.250000000,31.951786596,1480.500000000,31.214312956,177660.000000000,3745.717554755,155.250000000,15.966109942,18.250000000,4.924428901,155.250000000,15.966109942,0.000000000,0.000000000,0.000000000,0.000000000,18.250000000,4.924428901,0.104714099,0.011452880
13178,4,1686.750000000,34.596483444,1498.000000000,30.713731999,1498.750000000,29.669007398,179850.000000000,3560.280887795,166.750000000,11.146748405,22.000000000,5.715476066,166.750000000,11.146748405,0.000000000,0.000000000,0.000000000,0.000000000,22.000000000,5.715476066,0.111889185,0.005306674
13345,4,1704.750000000,50.341334905,1505.000000000,27.410460290,1505.000000000,27.227437142,180600.000000000,3267.292457066,179.250000000,25.656383221,20.500000000,7.141428429,179.250000000,25.656383221,0.000000000,0.000000000,0.000000000,0.000000000,20.500000000,7.141428429,0.116939050,0.011013469
13511,4,1727.250000000,30.652623596,1538.750000000,30.059662895,1539.000000000,30.099833887,184680.000000000,3611.980066390,168.250000000,8.770214745,20.250000000,2.217355783,168.250000000,8.770214745,0.000000000,0.000000000,0.000000000,0.000000000,20.250000000,2.217355783,0.109147133,0.004475922
13677,4,1771.000000000,23.452078799,1563.250000000,11.086778913,1563.500000000,13.771952173,187620.000000000,1652.634260809,184.750000000,15.521490478,23.000000000,3.162277660,184.750000000,15.521490478,0.000000000,0.000000000,0.000000000,0.000000000,23.000000000,3.162277660,0.117246313,0.006650290
13844,4,1761.250000000,35.471819801,1559.500000000,27.862758897,1555.500000000,26.739483914,186660.000000000,3208.738069709,181.250000000,7.365459931,20.500000000,2.380476143,181.250000000,7.365459931,0.000000000,0.000000000,0.000000000,0.000000000,20.500000000,2.380476143,0.114518936,0.002038438
