rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
3528,5,455.600000000,15.043270921,441.400000000,14.275853740,428.400000000,13.296616111,12.600000000,4.774934555,1.600000000,0.894427191,12.600000000,4.774934555,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,0.894427191,0.031110872,0.009754620
3694,5,468.200000000,10.084641788,454.200000000,11.649034295,441.800000000,13.160547101,13.200000000,3.492849839,0.800000000,0.447213595,13.200000000,3.492849839,0.000000000,0.000000000,0.000000000,0.000000000,0.800000000,0.447213595,0.029946419,0.008203031
3861,5,495.000000000,26.523574420,474.200000000,26.233566284,462.600000000,29.108418026,17.800000000,2.949576241,3.000000000,1.870828693,17.800000000,2.949576241,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,1.870828693,0.042083968,0.004481989
4027,5,516.800000000,22.432119828,497.800000000,20.315019075,484.000000000,16.537835409,17.800000000,3.701351105,1.200000000,1.643167673,17.800000000,3.701351105,0.000000000,0.000000000,0.000000000,0.000000000,1.200000000,1.643167673,0.036660278,0.007222269
4193,5,535.400000000,9.813256340,514.400000000,11.371015786,503.600000000,12.521980674,19.200000000,3.420526275,1.800000000,0.836660027,19.200000000,3.420526275,0.000000000,0.000000000,0.000000000,0.000000000,1.800000000,0.836660027,0.039265629,0.006195627
4360,5,557.600000000,16.531787562,535.000000000,12.806248475,523.400000000,14.046351840,20.600000000,4.449719092,2.000000000,1.000000000,20.600000000,4.449719092,0.000000000,0.000000000,0.000000000,0.000000000,2.000000000,1.000000000,0.040392183,0.006530540
4526,5,570.200000000,24.221890925,546.600000000,23.586012804,536.800000000,25.063918289,21.200000000,2.588435821,2.400000000,1.140175425,21.200000000,2.588435821,0.000000000,0.000000000,0.000000000,0.000000000,2.400000000,1.140175425,0.041406181,0.002940206
4692,5,592.400000000,38.181147180,566.800000000,32.660373543,557.400000000,34.238866804,22.400000000,5.941380311,3.200000000,2.167948339,22.400000000,5.941380311,0.000000000,0.000000000,0.000000000,0.000000000,3.200000000,2.167948339,0.042863781,0.009311428
4859,5,609.400000000,10.064790112,583.000000000,5.787918451,574.400000000,5.224940191,23.200000000,4.919349550,3.200000000,1.303840481,23.200000000,4.919349550,0.000000000,0.000000000,0.000000000,0.000000000,3.200000000,1.303840481,0.043233812,0.007128087
5025,5,630.600000000,24.223955086,604.200000000,27.197426349,595.400000000,25.851498989,23.000000000,4.301162634,3.400000000,1.516575089,23.000000000,4.301162634,0.000000000,0.000000000,0.000000000,0.000000000,3.400000000,1.516575089,0.042051957,0.009234694
5192,5,647.200000000,40.245496642,621.600000000,41.764817730,612.800000000,39.417001408,21.600000000,6.804410334,4.000000000,3.240370349,21.600000000,6.804410334,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,3.240370349,0.039749168,0.009875878
5358,5,696.000000000,25.739075352,663.600000000,26.101724081,657.600000000,24.764894508,27.600000000,2.701851217,4.800000000,1.303840481,27.600000000,2.701851217,0.000000000,0.000000000,0.000000000,0.000000000,4.800000000,1.303840481,0.046609756,0.005010764
5524,5,709.400000000,30.835044998,673.200000000,31.979681049,667.000000000,34.935655139,33.200000000,5.761944116,3.000000000,1.870828693,33.200000000,5.761944116,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,1.870828693,0.051150346,0.006471145
5691,5,734.000000000,27.973201461,694.400000000,30.038308874,688.200000000,26.938819573,35.600000000,7.602631123,4.000000000,3.674234614,35.600000000,7.602631123,0.000000000,0.000000000,0.000000000,0.000000000,4.000000000,3.674234614,0.054040067,0.012083220
5857,5,757.800000000,38.473367412,715.400000000,36.211876505,704.800000000,37.738574430,37.200000000,8.074651695,5.200000000,2.280350850,37.200000000,8.074651695,0.000000000,0.000000000,0.000000000,0.000000000,5.200000000,2.280350850,0.055916735,0.007693586
6024,5,764.800000000,31.467443493,725.000000000,26.627053911,716.400000000,27.951744132,35.000000000,5.656854249,4.800000000,0.836660027,35.000000000,5.656854249,0.000000000,0.000000000,0.000000000,0.000000000,4.800000000,0.836660027,0.051905084,0.004734937
6190,5,772.800000000,17.655027613,732.600000000,19.679939024,725.800000000,22.443261795,35.600000000,5.412947441,4.600000000,0.547722558,35.600000000,5.412947441,0.000000000,0.000000000,0.000000000,0.000000000,4.600000000,0.547722558,0.052069397,0.007543312
6356,5,787.200000000,27.833433134,747.600000000,27.898028604,743.800000000,24.468346900,34.800000000,6.572670690,4.800000000,2.949576241,34.800000000,6.572670690,0.000000000,0.000000000,0.000000000,0.000000000,4.800000000,2.949576241,0.050338703,0.007402491
6523,5,856.800000000,28.865203966,801.800000000,21.300234740,795.800000000,23.962470657,47.400000000,7.469939759,7.600000000,2.073644135,47.400000000,7.469939759,0.000000000,0.000000000,0.000000000,0.000000000,7.600000000,2.073644135,0.064007218,0.008102422
6689,5,839.000000000,28.705400189,783.600000000,29.929918142,779.800000000,33.176799122,48.400000000,5.639148872,7.000000000,2.549509757,48.400000000,5.639148872,0.000000000,0.000000000,0.000000000,0.000000000,7.000000000,2.549509757,0.066116988,0.007324411
6855,5,845.000000000,17.291616466,795.200000000,17.612495564,789.200000000,15.417522499,43.400000000,2.701851217,6.400000000,4.393176527,43.400000000,2.701851217,0.000000000,0.000000000,0.000000000,0.000000000,6.400000000,4.393176527,0.058948776,0.005768448
7022,5,921.000000000,20.469489490,863.000000000,20.211382931,857.800000000,20.042454939,48.800000000,7.726577509,9.200000000,5.069516742,48.800000000,7.726577509,0.000000000,0.000000000,0.000000000,0.000000000,9.200000000,5.069516742,0.062981929,0.005673041
7188,5,902.800000000,3.898717738,848.200000000,5.019960159,846.200000000,3.898717738,47.200000000,2.588435821,7.400000000,4.505552130,47.200000000,2.588435821,0.000000000,0.000000000,0.000000000,0.000000000,7.400000000,4.505552130,0.060477098,0.004227147
7355,5,948.600000000,26.149569786,885.400000000,21.419617177,879.600000000,19.781304305,55.200000000,8.729261137,8.000000000,2.121320344,55.200000000,8.729261137,0.000000000,0.000000000,0.000000000,0.000000000,8.000000000,2.121320344,0.066514367,0.010022240
7521,5,957.200000000,27.824449680,890.600000000,30.753861546,885.200000000,39.015381582,58.800000000,2.167948339,7.800000000,4.969909456,58.800000000,2.167948339,0.000000000,0.000000000,0.000000000,0.000000000,7.800000000,4.969909456,0.069688729,0.006482843
7687,5,995.000000000,34.849677186,930.800000000,32.205589577,928.800000000,30.735972410,55.200000000,13.479614238,9.000000000,4.123105626,55.200000000,13.479614238,0.000000000,0.000000000,0.000000000,0.000000000,9.000000000,4.123105626,0.064457022,0.010913502
7854,5,992.400000000,34.033806722,927.000000000,31.575306808,920.800000000,32.259882207,57.000000000,5.787918451,8.400000000,3.435112807,57.000000000,5.787918451,0.000000000,0.000000000,0.000000000,0.000000000,8.400000000,3.435112807,0.065888614,0.003609195
8020,5,988.400000000,55.292856681,923.000000000,44.654227124,920.600000000,45.003333210,57.600000000,8.792041856,7.800000000,3.033150178,57.600000000,8.792041856,0.000000000,0.000000000,0.000000000,0.000000000,7.800000000,3.033150178,0.065835361,0.008199409
8187,5,1038.600000000,22.810085489,973.200000000,24.097717734,969.600000000,21.732464195,57.800000000,4.324349662,7.600000000,4.560701700,57.800000000,4.324349662,0.000000000,0.000000000,0.000000000,0.000000000,7.600000000,4.560701700,0.062999878,0.006866796
8353,5,1083.200000000,32.843568625,1003.600000000,30.558141305,999.200000000,29.886451780,68.000000000,4.582575695,11.600000000,3.209361307,68.000000000,4.582575695,0.000000000,0.000000000,0.000000000,0.000000000,11.600000000,3.209361307,0.073481794,0.004129597
8519,5,1093.800000000,28.119388329,1013.200000000,26.883080181,1013.400000000,26.302091172,68.800000000,11.966620241,11.800000000,4.438468204,68.800000000,11.966620241,0.000000000,0.000000000,0.000000000,0.000000000,11.800000000,4.438468204,0.073668865,0.009501387
8686,5,1115.200000000,41.457206852,1033.800000000,37.851023764,1030.000000000,35.489435048,69.000000000,3.937003937,12.400000000,2.190890230,69.000000000,3.937003937,0.000000000,0.000000000,0.000000000,0.000000000,12.400000000,2.190890230,0.072975301,0.002104684
8852,5,1129.400000000,45.274717006,1047.600000000,35.535897343,1043.600000000,36.889022757,71.400000000,8.619744776,10.400000000,1.673320053,71.400000000,8.619744776,0.000000000,0.000000000,0.000000000,0.000000000,10.400000000,1.673320053,0.072242294,0.005880730
9018,5,1147.400000000,26.959228476,1061.800000000,22.387496510,1060.400000000,22.040871126,75.400000000,6.804410334,10.200000000,4.868264578,75.400000000,6.804410334,0.000000000,0.000000000,0.000000000,0.000000000,10.200000000,4.868264578,0.074537910,0.007661849
9185,5,1164.800000000,39.644671773,1072.600000000,34.616470068,1073.000000000,33.369147427,79.400000000,5.504543578,12.800000000,7.259476565,79.400000000,5.504543578,0.000000000,0.000000000,0.000000000,0.000000000,12.800000000,7.259476565,0.079075667,0.008577847
9351,5,1195.200000000,39.321749707,1101.400000000,27.070278905,1098.200000000,26.138094804,78.000000000,11.423659659,15.800000000,3.420526275,78.000000000,11.423659659,0.000000000,0.000000000,0.000000000,0.000000000,15.800000000,3.420526275,0.078280184,0.007747677
