rate_hz_per_channel,repeats,dead_fraction_mean,dead_fraction_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std
1000,3,0.011493999999999999,0.019908191982196677,31.0,2.6457513110645907,12.0,3.0,0.3333333333333333,0.5773502691896258,0.0,0.0
1684,3,0.04022866666666667,0.005611353342406206,48.333333333333336,6.658328118479393,25.333333333333332,3.5118845842842465,2.0,0.0,0.0,0.0
2368,3,0.050394,0.021545726188736364,70.0,7.211102550927978,45.333333333333336,5.8594652770823155,3.3333333333333335,1.5275252316519468,0.3333333333333333,0.5773502691896258
3053,3,0.03505266666666667,0.006785022795343676,92.33333333333333,9.073771725877467,68.0,6.082762530298219,2.3333333333333335,0.5773502691896258,1.0,1.0
3737,3,0.04696433333333333,0.014937693675173998,118.66666666666667,11.930353445448855,94.33333333333333,9.451631252505218,5.666666666666667,3.0550504633038935,0.3333333333333333,0.5773502691896258
4421,3,0.06422266666666666,0.01862321713167017,126.33333333333333,3.214550253664318,99.33333333333333,6.658328118479393,7.333333333333333,1.5275252316519465,1.3333333333333333,1.1547005383792517
5105,3,0.08598166666666666,0.02805027815073022,155.0,4.358898943540674,137.33333333333334,5.686240703077327,12.0,5.291502622129181,2.6666666666666665,0.5773502691896258
5789,3,0.08600999999999999,0.014261943310783416,167.0,10.583005244258363,149.66666666666666,10.969655114602888,13.0,2.0,2.6666666666666665,1.1547005383792515
6474,3,0.10005199999999999,0.02215045886657881,189.33333333333334,20.984120980716188,174.33333333333334,25.579940057266228,19.333333333333332,5.033222956847166,2.0,2.0
7158,3,0.11639766666666666,0.008948050141418144,200.66666666666666,18.876793513023692,185.0,19.28730152198591,22.666666666666668,1.5275252316519468,3.6666666666666665,1.5275252316519468
7842,3,0.12943366666666667,0.007548238558321622,226.33333333333334,7.094598884597588,215.66666666666666,8.32666399786453,29.0,2.0,4.666666666666667,0.5773502691896258
8526,3,0.144022,0.012879740020668131,233.66666666666666,3.2145502536643185,224.0,9.539392014169456,33.666666666666664,2.309401076758503,5.666666666666667,1.5275252316519465
9211,3,0.1433286666666667,0.02726687173720765,259.3333333333333,20.008331597945226,246.0,19.519221295943137,36.0,9.539392014169456,7.666666666666667,4.509249752822894
9895,3,0.166619,0.013670336169970359,271.6666666666667,3.0550504633038935,259.6666666666667,5.507570547286102,46.666666666666664,4.932882862316248,7.666666666666667,0.5773502691896258
10579,3,0.16183766666666669,0.020293796942251422,271.3333333333333,14.571661996262929,262.6666666666667,11.015141094572204,43.0,2.6457513110645907,9.666666666666666,3.7859388972001824
11263,3,0.16205766666666666,0.022396363774803554,284.3333333333333,10.692676621563626,278.6666666666667,13.576941236277534,45.666666666666664,9.237604307034013,9.333333333333334,1.5275252316519468
11947,3,0.16061466666666668,0.00871647201184822,321.3333333333333,27.64657905299195,310.6666666666667,18.583146486355137,50.333333333333336,4.725815626252609,11.0,5.5677643628300215
12632,3,0.1996,0.011765806092231846,339.6666666666667,19.39931270260195,328.0,16.822603841260722,70.0,15.716233645501712,15.0,5.0
13316,3,0.18830333333333335,0.01227661119093267,347.6666666666667,4.509249752822894,344.0,9.848857801796104,60.0,8.888194417315589,20.666666666666668,3.5118845842842465
14000,3,0.21503433333333333,0.007187304455310994,349.6666666666667,19.39931270260195,341.0,19.157244060668017,78.0,6.557438524302,17.666666666666668,7.023769168568492
