rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
4600,20,578.400000000,26.045304658,546.600000000,23.036355706,518.200000000,22.940655706,62805.600000000,2812.691844217,0.400000000,0.598243042,31.400000000,13.926120856,0.000000000,0.000000000,0.000000000,0.000000000,0.400000000,0.598243042,31.400000000,13.926120856,0.054609292,0.023048138
10000,20,1288.750000000,41.311238435,1026.650000000,57.894891148,956.750000000,53.950147554,117410.150000000,6584.515825824,2.650000000,1.460893742,259.450000000,63.704478071,0.000000000,0.000000000,0.000000000,0.000000000,2.650000000,1.460893742,259.450000000,63.704478071,0.202899101,0.046528657
14000,20,1790.650000000,54.857015096,1223.000000000,105.442925445,1113.300000000,100.423891056,137784.800000000,12450.601666290,6.750000000,1.943274502,560.900000000,113.591558248,0.000000000,0.000000000,0.000000000,0.000000000,6.750000000,1.943274502,560.900000000,113.591558248,0.316573229,0.061047094
20000,20,2558.750000000,68.832271348,1316.100000000,122.516980563,1150.350000000,109.881407364,144783.350000000,13665.484848120,13.850000000,4.533791257,1228.800000000,128.752148679,0.000000000,0.000000000,0.000000000,0.000000000,13.850000000,4.533791257,1228.800000000,128.752148679,0.485511340,0.047054265
