rate_hz_per_channel,rate_khz_per_channel,baseline_dead_pct_mean,baseline_dead_pct_std,ring_dead_pct_mean,ring_dead_pct_std,baseline_busy_pct_mean,baseline_busy_pct_std,ring_busy_pct_mean,ring_busy_pct_std,baseline_full_pct_mean,baseline_full_pct_std,ring_full_pct_mean,ring_full_pct_std,delta_dead_pct_mean,delta_dead_pct_std,delta_busy_pct_mean,delta_busy_pct_std,delta_full_pct_mean,delta_full_pct_std
1000,1.0,0.0,0.0,1.14939999999999,1.9908191982196601,0.0,0.0,2.7777777777777772,4.811252243246882,0.0,0.0,0.0,0.0,1.14939999999999,1.9908191982196601,2.7777777777777772,4.811252243246882,0.0,0.0
1684,1.684,0.0,0.0,2.7866,1.61616305179892,0.0,0.0,5.128205128205128,2.2205779584216376,0.0,0.0,0.0,0.0,2.7866,1.61616305179892,5.128205128205128,2.2205779584216376,0.0,0.0
2368,2.368,0.0,0.0,4.1736,1.7646905536098898,0.0,0.0,5.797101449275361,1.2551092808470126,0.0,0.0,0.7246376811594202,1.2551092808470126,4.1736,1.7646905536098898,5.797101449275361,1.2551092808470126,0.7246376811594202,1.2551092808470126
3053,3.053,9.0909,0.0,3.12213333333333,0.9830214765371701,0.0,0.0,2.9268292682926833,1.4634146341463417,12.5,0.0,1.4634146341463417,1.4634146341463417,-5.968766666666669,0.9830214765371701,2.9268292682926833,1.4634146341463417,-11.036585365853659,1.4634146341463417
3737,3.737,9.0909,0.0,4.18226666666666,1.2957394040984198,14.285714285714286,0.0,5.2631578947368425,2.7850013800679903,0.0,0.0,0.35087719298245607,0.607737125462764,-4.90863333333334,1.2957394040984198,-9.022556390977444,2.7850013800679903,0.35087719298245607,0.607737125462764
4421,4.421,0.0,0.0,5.19676666666666,2.00291122452627,0.0,0.0,5.610561056105611,1.5124012194573728,0.0,0.0,1.32013201320132,1.1432678597814372,5.19676666666666,2.00291122452627,5.610561056105611,1.5124012194573728,1.32013201320132,1.1432678597814372
5105,5.105,0.0,0.0,7.60663333333333,3.0612727979279,0.0,0.0,7.434052757793766,4.090820649695919,0.0,0.0,1.9184652278177454,0.41535990589181715,7.60663333333333,3.0612727979279,7.434052757793766,4.090820649695919,1.9184652278177454,0.41535990589181715
5789,5.789,4.7619,0.0,7.8637,2.1154790379486097,4.3478260869565215,0.0,7.726269315673288,2.1288412275922637,0.0,0.0,1.7660044150110372,0.7647023432975176,3.1018,2.1154790379486097,3.3784432287167663,2.1288412275922637,1.7660044150110372,0.7647023432975176
6474,6.474,0.0,0.0,7.9805,1.35416395979216,0.0,0.0,8.582089552238807,1.9656070434426751,0.0,0.0,0.9328358208955225,0.854958152044,7.9805,1.35416395979216,8.582089552238807,1.9656070434426751,0.9328358208955225,0.854958152044
7158,7.158,13.0434,0.0,10.4901,1.52303889313438,4.545454545454546,0.0,10.676156583629892,0.5338078291814946,4.545454545454546,0.0,1.95729537366548,0.8154049279280853,-2.5533,1.52303889313438,6.130702038175346,0.5338078291814946,-2.5881591717890657,0.8154049279280853
