rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
3528,5,455.600000000,15.043270921,429.400000000,11.717508268,429.200000000,11.099549540,24.600000000,6.580273551,1.600000000,1.140175425,24.600000000,6.580273551,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,1.140175425,0.057311301,0.012282393
3694,5,468.200000000,10.084641788,440.000000000,13.322912594,440.600000000,13.296616111,26.600000000,3.646916506,1.600000000,0.547722558,26.600000000,3.646916506,0.000000000,0.000000000,0.000000000,0.000000000,1.600000000,0.547722558,0.060367060,0.008678572
3861,5,495.000000000,26.523574420,459.800000000,22.884492566,460.200000000,24.386471660,32.200000000,6.379655163,3.000000000,0.707106781,32.200000000,6.379655163,0.000000000,0.000000000,0.000000000,0.000000000,3.000000000,0.707106781,0.070910859,0.011199012
4027,5,516.800000000,22.432119828,480.600000000,20.206434619,480.400000000,20.378910668,33.000000000,5.000000000,3.200000000,1.788854382,33.000000000,5.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.200000000,1.788854382,0.069986540,0.006140656
4193,5,535.400000000,9.813256340,493.200000000,10.592450141,495.400000000,9.889388252,39.800000000,4.324349662,2.400000000,1.341640786,39.800000000,4.324349662,0.000000000,0.000000000,0.000000000,0.000000000,2.400000000,1.341640786,0.078842558,0.007258592
4360,5,557.600000000,16.531787562,517.400000000,8.706319544,517.200000000,8.899438185,37.600000000,8.018728079,2.600000000,1.140175425,37.600000000,8.018728079,0.000000000,0.000000000,0.000000000,0.000000000,2.600000000,1.140175425,0.071788915,0.013635760
4526,5,570.200000000,24.221890925,528.000000000,27.073972741,527.600000000,29.534725325,38.600000000,6.426507605,3.600000000,1.816590212,38.600000000,6.426507605,0.000000000,0.000000000,0.000000000,0.000000000,3.600000000,1.816590212,0.074232576,0.013103726
4692,5,592.400000000,38.181147180,547.600000000,32.113859936,548.600000000,32.516149834,41.200000000,6.978538529,3.600000000,0.894427191,41.200000000,6.978538529,0.000000000,0.000000000,0.000000000,0.000000000,3.600000000,0.894427191,0.075325928,0.008570451
4859,5,609.400000000,10.064790112,561.600000000,4.722287581,562.400000000,6.503845017,44.400000000,6.107372594,3.400000000,1.516575089,44.400000000,6.107372594,0.000000000,0.000000000,0.000000000,0.000000000,3.400000000,1.516575089,0.078324680,0.009469318
5025,5,630.600000000,24.223955086,583.000000000,27.973201461,583.000000000,26.935107202,43.000000000,7.449832213,4.600000000,1.816590212,43.000000000,7.449832213,0.000000000,0.000000000,0.000000000,0.000000000,4.600000000,1.816590212,0.075727416,0.013345966
