rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
4600,20,578.400000000,26.045304658,546.600000000,23.093403022,518.150000000,22.707001007,62799.600000000,2790.485496336,0.450000000,0.686332741,31.350000000,13.685470590,0.000000000,0.000000000,0.000000000,0.000000000,0.450000000,0.686332741,31.350000000,13.685470590,0.054618949,0.022750682
10000,20,1288.750000000,41.311238435,1029.100000000,56.516322747,959.150000000,52.968982980,117695.350000000,6453.743216354,2.650000000,1.460893742,257.000000000,62.509788707,0.000000000,0.000000000,0.000000000,0.000000000,2.650000000,1.460893742,257.000000000,62.509788707,0.200994517,0.045587234
14000,20,1790.650000000,54.857015096,1219.550000000,103.205709246,1110.100000000,98.520048721,137378.050000000,12194.037643455,6.700000000,1.922169827,564.400000000,110.212904011,0.000000000,0.000000000,0.000000000,0.000000000,6.700000000,1.922169827,564.400000000,110.212904011,0.318538027,0.059491781
20000,20,2558.750000000,68.832271348,1318.650000000,128.661234091,1151.050000000,114.345494469,144911.450000000,14253.338746358,14.050000000,4.729248299,1226.050000000,133.542216861,0.000000000,0.000000000,0.000000000,0.000000000,14.050000000,4.729248299,1226.050000000,133.542216861,0.484531332,0.049177569
