rate_hz_per_channel,rate_khz_per_channel,baseline_dead_pct_mean,baseline_dead_pct_std,ring_dead_pct_mean,ring_dead_pct_std,baseline_busy_pct_mean,baseline_busy_pct_std,ring_busy_pct_mean,ring_busy_pct_std,baseline_full_pct_mean,baseline_full_pct_std,ring_full_pct_mean,ring_full_pct_std,delta_dead_pct_mean,delta_dead_pct_std,delta_busy_pct_mean,delta_busy_pct_std,delta_full_pct_mean,delta_full_pct_std
1000,1.0,0.0,0.0,1.14939999999999,1.9908191982196601,0.0,0.0,2.7777777777777772,4.811252243246882,0.0,0.0,0.0,0.0,1.14939999999999,1.9908191982196601,2.7777777777777772,4.811252243246882,0.0,0.0
1684,1.684,0.0,0.0,4.02286666666666,0.56113533424062,0.0,0.0,7.894736842105264,0.0,0.0,0.0,0.0,0.0,4.02286666666666,0.56113533424062,7.894736842105264,0.0,0.0,0.0
2368,2.368,0.0,0.0,5.0394000000000005,2.15457261887363,0.0,0.0,7.352941176470589,3.369540952173412,0.0,0.0,0.7352941176470587,1.2735667702712334,5.0394000000000005,2.15457261887363,7.352941176470589,3.369540952173412,0.7352941176470587,1.2735667702712334
3053,3.053,9.0909,0.0,3.50526666666666,0.67850227953436,0.0,0.0,3.431372549019608,0.8490445135141557,12.5,0.0,1.4705882352941178,1.4705882352941178,-5.585633333333339,0.67850227953436,3.431372549019608,0.8490445135141557,-11.029411764705882,1.4705882352941178
3737,3.737,9.0909,0.0,4.696433333333331,1.49376936751739,14.285714285714286,0.0,6.007067137809189,3.2385693957285095,0.0,0.0,0.35335689045936397,0.6120320874801688,-4.394466666666669,1.49376936751739,-8.278647147905097,3.2385693957285095,0.35335689045936397,0.6120320874801688
4421,4.421,0.0,0.0,6.422266666666659,1.86232171316701,0.0,0.0,7.38255033557047,1.5377770788442418,0.0,0.0,1.342281879194631,1.1624502064220656,6.422266666666659,1.86232171316701,7.38255033557047,1.5377770788442418,1.342281879194631,1.1624502064220656
5105,5.105,0.0,0.0,8.598166666666659,2.80502781507302,0.0,0.0,8.737864077669903,3.853035889899889,0.0,0.0,1.9417475728155336,0.42040068144875664,8.598166666666659,2.80502781507302,8.737864077669903,3.853035889899889,1.9417475728155336,0.42040068144875664
5789,5.789,4.7619,0.0,8.60099999999999,1.42619433107834,4.3478260869565215,0.0,8.68596881959911,1.3363028953229399,0.0,0.0,1.7817371937639197,0.7715148363335758,3.8390999999999904,1.42619433107834,4.338142732642588,1.3363028953229399,1.7817371937639197,0.7715148363335758
6474,6.474,0.0,0.0,10.00519999999999,2.21504588665788,0.0,0.0,11.089866156787762,2.887125979071032,0.0,0.0,1.147227533460803,1.147227533460803,10.00519999999999,2.21504588665788,11.089866156787762,2.887125979071032,1.147227533460803,1.147227533460803
7158,7.158,13.0434,0.0,11.63976666666666,0.89480501414181,4.545454545454546,0.0,12.252252252252253,0.8256893144064577,4.545454545454546,0.0,1.9819819819819817,0.8256893144064577,-1.4036333333333406,0.89480501414181,7.706797706797707,0.8256893144064577,-2.563472563472564,0.8256893144064577
7842,7.842,12.5,0.0,12.94336666666666,0.75482385583216,16.0,0.0,13.446676970633696,0.9273570324574963,0.0,0.0,2.163833075734158,0.267704916162114,0.4433666666666607,0.75482385583216,-2.553323029366304,0.9273570324574963,2.163833075734158,0.267704916162114
8526,8.526,13.793099999999999,0.0,14.4022,1.28797400206681,11.538461538461538,0.0,15.029761904761903,1.0309826235529032,3.8461538461538463,0.0,2.529761904761905,0.681930906987476,0.6091000000000015,1.28797400206681,3.491300366300365,1.0309826235529032,-1.3163919413919412,0.681930906987476
9211,9.211,17.3913,0.0,14.33286666666667,2.7266871737207596,18.181818181818183,0.0,14.634146341463415,3.8778016317762014,0.0,0.0,3.1165311653116534,1.8330283548060546,-3.0584333333333316,2.7266871737207596,-3.5476718403547682,3.8778016317762014,3.1165311653116534,1.8330283548060546
9895,9.895,18.1818,0.0,16.6619,1.36703361699703,21.73913043478261,0.0,17.97175866495507,1.8996981498008656,0.0,0.0,2.952503209242619,0.22234285077906,-1.5198999999999998,1.36703361699703,-3.767371769827541,1.8996981498008656,2.952503209242619,0.22234285077906
10579,10.579,11.1111,0.0,16.18376666666666,2.02937969422514,15.384615384615385,0.0,16.370558375634516,1.0072657275626613,0.0,0.0,3.680203045685279,1.4413472958883942,5.0726666666666596,2.02937969422514,0.9859429910191313,1.0072657275626613,3.680203045685279,1.4413472958883942
11263,11.263,21.9512,0.0,16.20576666666666,2.23963637748035,26.666666666666668,0.0,16.387559808612437,3.3149297752514393,0.0,0.0,3.3492822966507174,0.5481549874349091,-5.745433333333342,2.23963637748035,-10.27910685805423,3.3149297752514393,3.3492822966507174,0.5481549874349091
11947,11.947,12.820500000000001,0.0,16.06146666666666,0.8716472011848201,12.121212121212121,0.0,16.201716738197426,1.5211852874203675,3.0303030303030303,0.0,3.540772532188841,1.7921988292371311,3.24096666666666,0.8716472011848201,4.080504616985305,1.5211852874203675,0.5104695018858108,1.7921988292371311
12632,12.632,19.3548,0.0,19.96,1.17658060922318,12.903225806451612,0.0,21.341463414634145,4.791534648018814,3.225806451612903,0.0,4.573170731707317,1.524390243902439,0.6052,1.17658060922318,8.438237608182533,4.791534648018814,1.3473642800944141,1.524390243902439
13316,13.316,27.500000000000004,0.0,18.83033333333333,1.22766111909326,30.0,0.0,17.441860465116278,2.5837774468940666,3.3333333333333335,0.0,6.007751937984497,1.0208966814779787,-8.669666666666675,1.22766111909326,-12.558139534883722,2.5837774468940666,2.6744186046511635,1.0208966814779787
14000,14.0,22.5,0.0,21.50343333333333,0.71873044553109,22.580645161290324,0.0,22.873900293255133,1.9230024997953081,3.225806451612903,0.0,5.180840664711632,2.0597563544189126,-0.9965666666666699,0.71873044553109,0.2932551319648091,1.9230024997953081,1.9550342130987293,2.0597563544189126
