rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
4600,20,578.400000000,26.045304658,565.450000000,24.790649765,554.200000000,24.932751658,66504.000000000,2991.930199017,11.000000000,3.627381251,1.950000000,1.848897253,11.000000000,3.627381251,0.000000000,0.000000000,0.000000000,0.000000000,1.950000000,1.848897253,0.022316115,0.007051200
10000,20,1288.750000000,41.311238435,1228.300000000,38.505091939,1226.550000000,37.026981627,147186.000000000,4443.237795264,49.600000000,7.556105931,10.850000000,2.758241240,49.550000000,7.458481573,0.000000000,0.000000000,0.050000000,0.223606798,10.850000000,2.758241240,0.046874461,0.004559029
14000,20,1790.650000000,54.857015096,1671.550000000,49.891962226,1671.150000000,49.389190166,200538.000000000,5926.702819932,95.400000000,9.675797261,23.700000000,3.853911205,95.050000000,9.773621857,0.000000000,0.000000000,0.350000000,0.489360485,23.700000000,3.853911205,0.066480803,0.004495569
20000,20,2558.750000000,68.832271348,2316.350000000,59.807828215,2316.150000000,60.825267430,277938.000000000,7299.032091564,188.350000000,11.974864025,54.050000000,6.581273273,187.000000000,11.666416037,0.000000000,0.000000000,1.350000000,1.039989878,54.050000000,6.581273273,0.094697404,0.004653244
