rate_hz_per_channel,repeats,generated_total_mean,generated_total_std,accepted_total_mean,accepted_total_std,sent_total_mean,sent_total_std,sent_word_total_mean,sent_word_total_std,busy_counter_total_mean,busy_counter_total_std,full_counter_total_mean,full_counter_total_std,spacing_counter_total_mean,spacing_counter_total_std,queue_counter_total_mean,queue_counter_total_std,ring_counter_total_mean,ring_counter_total_std,output_counter_total_mean,output_counter_total_std,dead_fraction_mean,dead_fraction_std
4600,20,578.400000000,26.045304658,564.700000000,24.600171159,553.450000000,24.786403319,66414.000000000,2974.368398235,11.000000000,3.627381251,2.700000000,2.202868943,11.000000000,3.627381251,0.000000000,0.000000000,0.000000000,0.000000000,2.700000000,2.202868943,0.023598660,0.007409215
10000,20,1288.750000000,41.311238435,1222.400000000,37.100716407,1220.750000000,35.567393406,146490.000000000,4268.087208698,49.400000000,7.576973427,16.950000000,4.071402190,49.350000000,7.478213972,0.000000000,0.000000000,0.050000000,0.223606798,16.950000000,4.071402190,0.051427172,0.004152375
14000,20,1790.650000000,54.857015096,1654.400000000,48.625745834,1653.800000000,47.855704164,198456.000000000,5742.684499706,93.800000000,9.490161110,42.450000000,6.168468205,93.450000000,9.594269123,0.000000000,0.000000000,0.350000000,0.489360485,42.450000000,6.168468205,0.076040996,0.005643972
20000,20,2558.750000000,68.832271348,2253.550000000,49.902510221,2253.900000000,51.286501764,270468.000000000,6154.380211644,181.900000000,11.382812528,123.300000000,17.755947854,180.750000000,11.219696027,0.000000000,0.000000000,1.150000000,0.988086934,123.300000000,17.755947854,0.119149951,0.007231744
